"Stanza","Line","Line Text","Parse Rank","Parse Text","Parse Meter","Parse Stress","Length (#sylls)","Ambiguity (#parses)","Tension (#viols)","*w stress","*s unstress","*unres within","*foot size","*unres across","*w peak","*s trough","*pentameter","*iambic"
"1","1","i've lived my life in fathoms deep","77","I'VE.LIVED my LIFE in FAT homs DEEP","++-+-+-+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","85","I'VE lived.my LIFE in.fat HOMS deep","+--+--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","86","I'VE lived.my LIFE in FAT homs.deep","+--+-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","87","I'VE lived.my LIFE in FAT.HOMS deep","+--+-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","88","I'VE lived.my LIFE.IN fat HOMS deep","+--++-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","89","I'VE lived MY life.in FAT homs.deep","+-+--+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","90","I'VE lived MY life.in FAT.HOMS deep","+-+--++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","91","I'VE lived MY life IN.FAT homs.deep","+-+-++--","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","92","I'VE lived MY.LIFE in.fat HOMS deep","+-++--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","93","I'VE lived MY.LIFE in FAT homs.deep","+-++-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","94","I'VE lived MY.LIFE in FAT.HOMS deep","+-++-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","95","I'VE.LIVED my.life IN fat HOMS deep","++--+-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","96","I'VE.LIVED my LIFE in.fat HOMS deep","++-+--+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","97","I'VE.LIVED my LIFE in FAT homs.deep","++-+-+--","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","98","I'VE.LIVED my LIFE in FAT.HOMS deep","++-+-++-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","99","I'VE.LIVED my LIFE.IN fat HOMS deep","++-++-+-","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","115","I'VE lived.my LIFE in.fat HOMS.DEEP","+--+--++","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","116","I'VE lived.my LIFE.IN fat.homs DEEP","+--++--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","117","I'VE lived.my LIFE.IN fat HOMS.DEEP","+--++-++","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","118","I'VE lived MY.LIFE in.fat HOMS.DEEP","+-++--++","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","119","I'VE.LIVED my.life IN fat.homs DEEP","++--+--+","-+-+-+-+","8","68","","","","","","","","","",""
"1","1","i've lived my life in fathoms deep","120","I'VE.LIVED my.life IN fat HOMS.DEEP","++--+-++","-+-+-+-+","8","68","","","","","","","","","",""
