Poem ID,Title,Text,Speaker
L11,Laika,"Moscow street-mutt, unloved
stray. Eleven pounds of bone,
of pelt, of tail. Who can weigh
the heart of dog? What dials
or instruments may measure
loyalty; the desire, hard-wired,
to obey? Dogs have no gods,
know only to worship the hand
that feeds. There is no canine
word for pray. Brave little
cosmonaut, faithful to a fault;
caught and collared, Earth no
more than a distant ball with
which you cannot play. How
the words that sent you on
your way crackle through
the ragged dishes of your ears,
a comet’s tail of breaking
syllables that even now leave
their trail: Laika, in. Laika, lay.
Good girl, Laika. Wait. Stay.",Second-Person
L12,"Laika (1954–1957)
","In the time it takes to make bread, a wild pasture.
Outside this thought, a song no longer than an inch.
If there is light, it’s pressing down on you.
Something stirs inside it.
It is not so much lust you experience as it is its recurring engine.
Boredom is not a new technology.
It has no apparent safety valve.
Recite that old line about cream rising.
Top as operative verb.
Verb being, in this instance, a hunger.
You can laugh.
Do it now, into this pinewood box, before the morning comes.
Try to transcribe it.
Be serious for extended periods of time.
See how your wardrobe changes to match.
Your uber has arrived.
Half-sick you stumble out through the sidewalk.
You recall asphalt but not its purpose.
Where are you supposed to go.
In the dark there is no knowing.
Once, a tiny satellite circled the earth carrying a dog.
There can be no word for a fear you cannot fathom.
An infinite future tires you out.",Second-Person
L13,FIRST THE DOG,"To Laika

So first the faithful dog will go
and after it a pig or ass
through the black grass will beat a track
along it will the first man steal
who with iron hand will smother
on his glass brow a drop of fear

so first the dog honest mongrel
which has never abandoned us
dreaming of earthly lamps and bones
will fall asleep in its whirling kennel
its warm blood boiling drying away

but we behind the dog and second
dog which guides us on a leash
we with the astronauts’ white cane
awkwardly we bump into stars
we see nothing we hear nothing
we beat with our fists on the dark ether
on all the wavelengths is a whining

everything we can carry on board
through the cinders of dark worlds
name of man scent of apple
acorn of sound quarter of colour
should all be saved for our return
so we can find the route in an instant
when the blind dog leading us
barks at the earth as at the moon",First-Person
L14,,"i went chasing after
i went chasing after
i went chasing after your poor little tennis ball
that poor tennis ball
that i shot over the cosmic picket line

the arc of it got stuck
somewhere in that great spinning
black on black on black
great spinning black on black

where the shining things have seen you and i made a million times
and then i turn round and you were waiting
and you were waiting for us to do it all over again

i went chasing after
your poor little tennis ball
and was really trying my best with you whining at my ankle
when i dove my wrist into the ever eternal beyond
and came back three times with iron ice and comet in my fist instead

i was following the cold way you went
and now the ball is still going
or maybe not
i don't know how you can tell anything at all in all this death
but you keep barking
so i keep chasing after your
poor little tennis ball",First-Person
L15,,"you were small and fraught with fleas,
fragile in your glassy eyes and your
raw paw pads and your overgrown nails.
you wanted so badly to be loved,
that you let the first stranger with a
non-violent hand draw you into a cage.
you refused to bite that hand,
even when it smelled so tempting
that it made your mouth water,
even when it itched at your gums.
you were good, you were so fucking *good*—

and they killed you for it.

you jumped through every hoop,
took every needle pinch and
every sticky electrode pasted to your fur
with a smile and a wag of the tail,
cleared every test and didn’t even bite.
they fed you and they sheltered you
and they gave you adoring nicknames
for your voice and the texture of your fur.
you were good. you were so good.
when it came time to choose, they chose you.
they kept you because you didn’t bite.

they killed you because you didn’t bite.",Second-Person
L16,"Laika the Space Dog
","Alone, she entered an abyss
bejeweled with blue giant suns,
white dwarfs, black holes, quasars
and nebulae like clouds of gnats
in the deep, the clockwork spin
of galactic arms across all dreams
as Laika, the Soviet space dog
was launched into heaven
for the Motherland and reached
the tonnage of night without food
or water and died, memories stirring
of chasing fireflies through sweet grass,
her hot breath lost beyond worlds,
Earth’s scent wisped to her brain
until her last thoughts began:

Look, there’s a darkness
and the blue globe is dimming.
I wish I could take the Earth in my mouth
and run with it across the stars
where my grave is laid in a bed of stars.

Here without hares or foxes
life is bigger and blacker
than I thought it could be, my paws
like wings floating in this gray car
where I’ll die lonelier than snakes
and drown in night’s deep river,
crossing the boundaries of touch
without stone or soil to walk on.

People sent me to the forever
where no flowers open smells,
only glittering specks blossom
and sleeping I dream of dogs
running over glaciers, chewing antelope,
chasing shaggy brown beasts, their tusks
like sharpened moons—I carry
my kind’s history to the end of ends.

Howling towards shadows’ outer layers
my ghost is fleeing to the world.

Dying I will come back, Yes, I’ll taste
tender air and amber sunlight
back from immensity. I’ll climb
the rainbow’s stairs earthward
back to green shoots and streets
cobbled with hardness, back from the timeless
seabed of space to the churning ground. Back.",First-Person
L17,O Laika,"O Laika,                                                                                                     
        the mud of language neve r sets.                                
        Every year,                                                                              
                                     the Presidents of Extinction        
        double down                                                                         
                               on their own last worst. ",Third-Person
L18,All the Dogs are Here,"All the dogs are here.
Here’s Laika the Space Dog.
Here are the loyal Dogs of Pompeii.

And there are the dog owners,
saying ‘shutupyoustupiddog’.
Even though the dog makes a good point!

Here’s the broken road.
Here the tarmac’s cracked to reveal
old cobblestones beneath.

                the future’s a dead end
time rushes back on itself
       with nowhere else to go

Every stone reads:
Wenn du das hier liest,
dann weine. Or:

When the swallows stop                            
these stones start
                                                             flying.

Migrating through
your fucking windows.

We give you our word,
say the Presidents of Extinction.
As if they have a word to give.

Even in their wildest fantasies,
they act too late.",Third-Person
L19,"Voyager
or, I Can’t Stop Feeling Melancholic Over #Laika the #Space Dog ","The payload separation failed.
Ground control fabricated mercy:
peaceful end in six days –
a wayfaring martyr of science.
Spare the detail that in seven hours,
the stars beat down on Laika
while the capsule overheated.

In her final moments, perhaps,
watching Earth grind seamlessly,
and the chiming of the spheres
echoing into vacuum night,
even a stray could comprehend
the beauty in the smallness of a body.",Third-Person
L20,life signals from sputnik 2,"up here, i bark and the sound comes back
empty. i try very often to make noise;
i sing songs but no one pets me
or calls me a good girl.
i thought i could hear you, but there is
too much space between us.

did you know there are fireplaces here?
like the day you took me to your family’s
house, and we played all night—you gave
me real food and a kiss
and you weren’t supposed to.
you were saying goodbye
but i’m not ready,
i’ll never be ready—

can someone turn down the heat
or is it summer? i love summer. i never
knew summer in the streets of moscow.
(little curly, they called me, and that will
always be my name)

oh, look at the stars.
do you think they’re like the freckles on my
back? am i a constellation? i think you told
me stars burn and the sun is a star—
would they like to be my friends?

it’s so warm. you told me space was cold.
what else did you tell me? i don’t
understand;
you told me i’m going to the stars!
and i will, i will, i will
i will run across the whole of earth, my
magnificent backyard!

how long will i be alone up here?
i can’t count hours like you,
but i’m sure it hasn’t been long enough yet.
yet…

i hope you learn something from me.
i don’t know what, but you’ll figure it out.
i understand now; that last kiss to my brow
was searing hot.
i should have felt it coming.

you told me sorry
it’s okay.
i forgive you.

i’m ready now.",First-Person
